track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
6lTxUkFSQfGodETUF2TwsC,Dance Impulse,Agents Of Time,14,2Vs1rVjQ5i378pvVwpIOFh,Ordinary Cosmic Dance EP,2018-06-08,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.786,0.805,7,-10.795,1,0.0501,0.00291,0.859,0.32,0.368,126.02,371907,33
7snVrPreizmWgxK2lXAioC,Pulsating frequencies,be insane,30,7DUjmssqhavtwUjpT3dznh,Pulsating frequencies,2019-10-20,Tastemakers Ball  -  EDM - POP and FUN,67cpuBAXjwibm3LG333Oaq,edm,pop edm,0.768,0.894,10,-14.108,0,0.0526,0.000372,0.916,0.106,0.0384,140.029,273264,33
4o7zeDjEoPALOH9ZN483Oj,I'm Going Like,Hallman,55,0ltxBiyZK4kQ8NoGqRyIlA,I'm Going Like,2019-01-04,Tropical Vibes,37i9dQZF1DXd8Gn5cSmvFy,latin,tropical,0.659,0.803,4,-6.945,1,0.0368,0.0207,0.803,0.16,0.336,125.986,185681,33
4mZGiWz2bqaenimlUZ59T5,Styx - Original Mix,Harry Doe,30,2nHH3fZjIOEGXmFD0T1OjR,Styx,2019-11-01,Techno House 2020 👽 Best Collection 👻 Top DJ’s Electronic Music - Deep House - Trance - Tech House - Dance - Electro Pop,3QEYvCsVXZj8KuzE0bDmcI,edm,electro house,0.7,0.882,4,-9.55,1,0.0529,0.0206,0.862,0.081,0.243,129.995,238147,33
324hSNQ1kybDOJIpCtmgki,Medioum Experience,Semser,14,2K2gRaa3xoO2XOb8VJ02VS,Blocksound,2018-04-27,House Electro 2019,72r6odw0Q3OWTCYMGA7Yiy,edm,electro house,0.759,0.928,10,-7.274,0,0.0402,0.00036,0.703,0.0719,0.444,127.978,161250,33
1V8Lm8AMbCVik73Ixqp05d,Backlash - Martin Garrix Edit,DubVision,0,4aQ2Hhxtv8wE7hU4qLjbN2,Backlash (Martin Garrix Edit),2014-08-11,Jeff Seid Electro House,2Tisn6NZbeofpc57Oc6MGo,edm,electro house,0.679,0.825,0,-6.059,0,0.0529,0.00702,0.00207,0.0658,0.313,126.986,376063,33
2pv6ex8xA9n3hxS9kpjllz,Hell Yeah!,Tiësto & Showtek,0,7jtUCDI0fus9Nr27mvAGlc,Hell Yeah!,2012-06-18,Gym (Melbourne Bounce/Progressive House),5BqOZpVEqRDfZScvW1QUyA,edm,progressive electro house,0.63,0.918,10,-7.881,1,0.0485,0.000273,0.858,0.0659,0.0372,129.985,352593,33
2MaU0zb75fuPS5DVKd0jqh,Tick,Happi,27,2X5VyvTVPQPXdTyEWGMkgS,Tick,2019-02-08,CHRISTIAN ELECTRO / DANCE / EDM,0MhTMIo1bgH6zzPh7BdChT,edm,progressive electro house,0.738,0.928,9,-8.716,1,0.0458,0.0325,0.807,0.149,0.408,128.005,165015,33
1T67ADy3jpjwzB3lr5DNWS,Tolerance For The Absurd - Acronym Remix,Irazu,2,3klB26ICy3vT9UpYyGkUwr,Tolerance For The Absurd,2016-05-09,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.686,0.933,6,-5.607,0,0.0494,0.000273,0.747,0.0663,0.0357,126.989,456000,33
0hv6ku4431kPrjbpBBspw3,Animals - Original Mix,Martin Garrix,5,0N5QcojgdA6aP9oQ7yYG9A,Animals,2013-07-01,Gym (Melbourne Bounce/Progressive House),5BqOZpVEqRDfZScvW1QUyA,edm,progressive electro house,0.675,0.868,1,-6.36,1,0.0392,0.00107,0.715,0.374,0.0376,128.007,304229,33
