track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,1Z7WbPmn7QFoJ2DrNfEehz,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop,46Cl6dmeiylK6TRGXr7hHe,pop,post-teen pop,0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,215316,26
4FfxTYuivKhlcHsA5HKLE2,Travelling in the Summer,Kavv,51,6oFBUoIrI1Qnm5uFJsvJZQ,Cruise Control,2017-12-01,Sunny Beats,37i9dQZF1DXbtuVQL4zoey,latin,tropical,0.459,0.289,10,-12.606,0,0.258,0.861,0.0218,0.122,0.455,74.831,120000,26
0JwfrZk5keNp3SYhZn6Wi1,No One Knows,Brent Faiyaz,49,2pIpBDT8RtmJ5Vhb86BOcd,A.M. Paradox,2016-09-20,Neo-Jazz Soul RnB & Afro,48AzM7l4M02DBYd2N3IFLP,r&b,neo soul,0.6,0.619,9,-9.709,0,0.202,0.36,4.31e-05,0.106,0.308,103.908,271246,26
6KykddnA5NxNkaip0LEpgG,Sandalwood,J. Roosevelt,56,77JjJ47oJAzWqdcoPDfjzw,Sandalwood,2018-10-22,Lofi Hip-Hop,37i9dQZF1DX36Xw4IJIVKA,rap,hip hop,0.62,0.349,10,-11.26,0,0.107,0.761,0.92,0.127,0.378,78.904,168608,26
7dQeS4ErW1iWvnKdrtKwKr,Around Me,Brent Faiyaz,64,03nFfkhtHqQZZqprep3G6r,Lost,2018-10-19,Neo Soul 2019,44d7ppo4cggZJmzH2WOhAc,r&b,neo soul,0.587,0.177,1,-12.522,1,0.0647,0.574,5.54e-05,0.097,0.125,75.039,183022,26
37YWwmlRl1GonSwjRuOiEq,Aerodynamic - Daft Punk Remix,Daft Punk,52,1O5WUh9KsgHT2QaUCJeVPG,Daft Club,2003-12-01,Electro/Progressive/Club House,1HtnPDj2V126xB9tJP786P,edm,progressive electro house,0.568,0.928,11,-6.071,0,0.0733,0.413,0.572,0.111,0.181,122.892,370987,26
7MiZjKawmXTsTNePyTfPyL,Devil Eyes,Hippie Sabotage,81,1RVXVo1puacM8aQ6hgQahi,Providence,2016-02-05,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.391,0.396,1,-8.621,0,0.189,0.702,0.405,0.315,0.199,99.112,131272,26
2Iwf4sAnEgkuxxnJ61du8z,Claustrophobia,Killstation,35,5TU7wNmbwCDIJhL5NTDOrx,Claustrophobia,2017-12-15,< DARK TRAP >,19WuHd4MxWLzE1fpMmw4S4,rap,gangster rap,0.468,0.325,1,-8.267,1,0.245,0.115,0.726,0.109,0.0387,95.593,90645,26
5fQBa4wkmq28xpSLOQ202K,Normal Girl,SZA,62,76290XdXVF9rPzGdNRWdCh,Ctrl,2017-06-09,NEO-soul,3q3M4VCymcMoxJ3Tl7mRqN,r&b,neo soul,0.622,0.532,0,-7.143,1,0.128,0.269,5.37e-05,0.158,0.364,76.459,253587,26
3y3brCCecHC3Db18aIOnny,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,1Z7WbPmn7QFoJ2DrNfEehz,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,215316,26
