track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster
0k3bQrqLGN6DU3kyAr7Q8h,You & Jennifer (the other side) (with Rich The Kid),bülow,51,5zNnm0TUbxdDdlXutdfqLu,You & Jennifer (the other side) (with Rich The Kid),2019-12-03,Girl On Fire,37i9dQZF1DX4F2k37fMTyn,r&b,hip pop,0.756,0.703,11,-6.927,1,0.431,0.206,0.0,0.28,0.311,132.067,158200,61
6EPdlx9eswKtXURKId2fly,Checks,Ray Dawn,41,42phqWftNYn71OGTiemdLD,Checks,2019-07-05,"Latest Hits 2020 - Pop, Hip Hop & RnB",7FqZlaYKkQmVnguJbHuj2a,r&b,hip pop,0.774,0.66,8,-7.478,0,0.216,0.265,8.62e-06,0.117,0.508,145.051,145655,61
1JbR9RDP3ogVNEWFgNXAjh,Look What You Made Me Do,Taylor Swift,74,1Hrs3jLGexOvBoaPMoOQYJ,reputation (Big Machine Radio Release Special),2017-11-08,Post Teen Pop,2Aud8PXoTGcyY5esHu4Aaz,pop,post-teen pop,0.766,0.709,9,-6.471,0,0.123,0.204,1.41e-05,0.126,0.506,128.07,211853,61
6041gM9Th1ViQcnzkIxnuv,Me Ama Me Odia,Ozuna,7,0MB7Wln3Ojj44qEBJIeS2u,Me Ama Me Odia,2016-09-01,Los Cangri,2hTs6GuPwhmg4ApNqxWXLE,latin,latin hip hop,0.737,0.699,6,-5.804,0,0.15,0.222,1.52e-05,0.0785,0.42,135.998,325265,61
0onGoqbOulLD4FgxSuTYcu,Hourglass (feat. Struggle),Upchurch,33,7zlwNuZ06nWHXvP22SOxMY,Heart of America,2016-01-15,Southern soul & hip hop,4xJULuV0P5PLcMe3xP8Pgj,rap,southern hip hop,0.647,0.533,10,-13.254,0,0.337,0.227,0.0,0.3,0.376,150.103,162493,61
5NYzvVxuyXiHSqn7PojgKC,Ich hol dich ab,Jamule,76,2EFLS65lqnVPfIFQ9uVcAv,Ich hol dich ab,2020-01-09,Modus Mio,37i9dQZF1DX36edUJpD76c,rap,hip hop,0.685,0.494,6,-10.431,0,0.143,0.291,2.4e-06,0.0581,0.445,153.986,152927,61
2p4p9YGwmJIdf5IA9sSWhm,STFU,mansionz,69,5WS1g0cKtjfK6eDoSLdv7d,Mansionz,2017-03-24,Pop / Hip-Hop: Gas ⛽️,7ccXu2NL5YPa7PVgnQxR1j,r&b,hip pop,0.822,0.471,1,-7.303,0,0.193,0.186,0.0,0.215,0.512,135.07,230878,61
0Y0TOsE1q11qgbi7c5WZsG,R.I.C.O. (feat. Drake),Meek Mill,71,2O3OKOYCub892PUGprsaQo,Dreams Worth More Than Money,2015-06-29,Latin/Hip Hop/Dancehall/Soca,2rg9LCyvaMQvnCE2hVndpR,latin,latin hip hop,0.727,0.599,1,-6.941,1,0.327,0.317,0.0,0.219,0.386,167.909,197133,61
5nN8BwAQDJDguq7Dpd3JQQ,Where Ya At,Future,67,0fUy6IdLHDpGNwavIlhEsl,DS2 (Deluxe),2015-07-17,HIP&HOP,5DyJsJZOpMJh34WvUrQzMV,rap,southern hip hop,0.813,0.453,1,-6.941,1,0.338,0.0933,0.0,0.14,0.191,161.997,208027,61
5ZmkVc8fMPzmDJCEtn9f6z,I'm Good,Rippa da Kid,5,6FjchKMXY912R25UXEGNZ5,Built for This,2017-03-23,Someone You Loved Lewis Capaldi (Pop Music Mix),6IErGHjBfhey8URq0mFnPi,pop,post-teen pop,0.637,0.715,7,-7.958,0,0.322,0.637,0.0,0.104,0.319,188.094,152765,61
4AkCyd9Nlbt8JprQq9V6o2,All Comes Back To You,R3HAB,72,5sF8cTLQirqDYQWJwzxq87,All Comes Back To You,2019-10-25,Dance Pop,37i9dQZF1DWZQaaqNMbbXa,pop,dance pop,0.726,0.763,4,-6.872,1,0.0882,0.524,2.64e-06,0.0943,0.516,128.02,160312,61
